DATEPRD,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
5/25/2014,NO 15/9-F-1 C,219.98,107.90,155.90,,46.26,64.07,55.23,35.67,750.57,105809.71,101.01
5/26/2014,NO 15/9-F-1 C,219.97,107.92,156.04,,46.27,63.93,55.10,35.53,727.26,106514.13,86.62
5/27/2014,NO 15/9-F-1 C,219.98,107.94,156.24,,46.23,63.74,55.31,35.33,715.50,105800.29,91.08
5/28/2014,NO 15/9-F-1 C,219.27,107.45,155.72,,46.22,63.55,55.51,35.16,695.01,102249.56,76.96
5/29/2014,NO 15/9-F-1 C,220.01,107.96,156.55,,46.22,63.46,56.17,35.05,698.77,102823.50,77.13
5/30/2014,NO 15/9-F-1 C,220.00,107.97,156.66,,46.23,63.34,55.85,34.92,704.08,103977.99,77.96
5/31/2014,NO 15/9-F-1 C,219.99,107.99,156.78,,46.21,63.21,55.60,34.79,715.93,105761.32,78.99
6/1/2014,NO 15/9-F-1 C,220.01,107.99,156.86,,46.26,63.14,55.96,34.73,724.21,107035.76,80.08
6/2/2014,NO 15/9-F-1 C,221.33,107.83,157.54,,41.71,63.79,50.77,35.35,459.83,68263.31,46.21
6/3/2014,NO 15/9-F-1 C,220.24,107.97,157.87,,46.19,62.37,53.05,33.95,715.10,104865.93,80.70
6/4/2014,NO 15/9-F-1 C,221.27,107.96,159.45,,46.16,61.82,53.74,33.39,706.80,104234.10,79.73
6/5/2014,NO 15/9-F-1 C,221.05,107.97,158.76,,47.04,62.29,54.24,33.84,677.29,99517.49,90.57
6/6/2014,NO 15/9-F-1 C,220.75,107.99,157.67,,47.20,63.08,56.53,34.65,690.38,99850.49,92.18
6/7/2014,NO 15/9-F-1 C,220.64,107.99,157.28,,47.19,63.36,56.62,34.93,694.30,100306.26,92.07
6/8/2014,NO 15/9-F-1 C,220.50,108.00,157.18,,47.15,63.32,52.05,34.89,690.70,99959.04,91.25
6/9/2014,NO 15/9-F-1 C,221.45,107.76,159.11,,38.98,62.34,53.56,34.67,238.45,34915.85,28.15
6/10/2014,NO 15/9-F-1 C,220.85,107.99,158.07,,46.51,62.78,54.49,34.35,647.11,95262.30,84.88
6/11/2014,NO 15/9-F-1 C,218.42,108.07,156.69,,47.82,61.73,54.30,33.31,745.92,108793.22,94.23
6/12/2014,NO 15/9-F-1 C,215.50,108.14,155.56,,48.73,59.94,61.56,31.53,804.85,116554.82,101.88
6/13/2014,NO 15/9-F-1 C,214.82,108.14,154.69,,48.26,60.14,62.33,31.74,818.89,120308.03,56.75
6/14/2014,NO 15/9-F-1 C,215.83,108.11,155.60,,48.01,60.23,59.58,31.84,781.21,115374.09,54.32
6/15/2014,NO 15/9-F-1 C,214.88,108.11,154.96,,48.04,59.92,60.77,31.54,786.16,116058.03,54.55
6/16/2014,NO 15/9-F-1 C,215.38,108.09,155.33,,47.74,60.05,59.44,31.67,757.43,111152.61,51.84
6/17/2014,NO 15/9-F-1 C,216.12,108.07,155.98,,47.62,60.14,58.61,31.76,726.50,107050.89,50.67
6/18/2014,NO 15/9-F-1 C,215.98,108.07,156.20,,47.64,59.79,58.66,31.40,723.96,106456.63,51.30
6/19/2014,NO 15/9-F-1 C,215.82,108.07,156.38,,47.61,59.44,57.55,31.05,715.28,105827.77,52.96
6/20/2014,NO 15/9-F-1 C,215.58,108.07,156.49,,47.59,59.09,58.45,30.70,710.62,104860.95,50.87
6/21/2014,NO 15/9-F-1 C,215.30,108.08,156.60,,47.61,58.70,58.70,30.31,708.04,104155.82,50.48
6/22/2014,NO 15/9-F-1 C,214.95,108.09,156.71,,47.62,58.24,58.42,29.85,702.73,102417.80,51.70
6/23/2014,NO 15/9-F-1 C,214.86,108.09,157.39,,47.66,57.46,57.88,28.78,695.74,102284.59,51.69
6/24/2014,NO 15/9-F-1 C,214.90,108.08,157.99,,47.63,56.91,57.35,28.52,658.27,96651.98,94.65
6/25/2014,NO 15/9-F-1 C,214.82,108.08,157.95,,46.57,56.88,58.01,28.48,576.35,85082.22,79.35
6/26/2014,NO 15/9-F-1 C,219.56,107.45,158.58,,44.00,60.98,49.15,35.12,369.83,55419.55,51.46
6/27/2014,NO 15/9-F-1 C,217.25,107.64,162.79,,44.38,54.46,50.51,26.03,418.45,63214.18,59.20
6/28/2014,NO 15/9-F-1 C,215.09,108.08,160.77,,47.05,54.33,55.69,25.90,588.96,88192.51,91.66
6/29/2014,NO 15/9-F-1 C,215.26,108.10,160.20,,46.83,55.06,55.97,26.65,571.88,85616.39,81.73
6/30/2014,NO 15/9-F-1 C,215.35,108.11,160.21,,45.83,55.14,56.01,26.73,512.52,76979.08,71.37
