,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,FLOW_KIND,WELL_TYPE
86,NO 15/9-F-1 C,215.41,108.12,46.8,54.81,51.65,26.39,564.26,84364.91,78.72,production,OP
87,NO 15/9-F-1 C,215.33,108.12,46.8,54.55,50.82,26.13,565.09,84351.11,78.88,production,OP
88,NO 15/9-F-1 C,215.21,108.13,46.85,54.11,51.42,25.68,563.73,84183.26,79.55,production,OP
89,NO 15/9-F-1 C,215.12,108.13,46.86,53.63,54.23,25.2,563.46,83869.61,79.95,production,OP
90,NO 15/9-F-1 C,215.07,108.13,46.86,53.09,56.64,24.66,563.38,83853.8,80.3,production,OP
91,NO 15/9-F-1 C,215.07,108.14,46.82,52.66,54.97,24.23,522.0,77846.76,154.47,production,WI
92,NO 15/9-F-1 C,215.05,108.14,46.8,52.02,57.49,23.59,523.33,77885.2,247.1,production,OP
93,NO 15/9-F-1 C,215.14,108.14,46.81,51.25,56.12,22.8,521.97,77858.58,247.09,production,OP
94,NO 15/9-F-1 C,215.17,108.14,46.79,50.93,57.49,22.48,490.49,73240.81,212.89,production,OP
95,NO 15/9-F-1 C,215.19,108.14,46.79,50.49,56.12,22.04,491.71,72894.63,253.18,production,OP
96,NO 15/9-F-1 C,215.46,108.14,46.86,49.54,56.63,21.08,488.44,72637.03,203.87,production,OP
97,NO 15/9-F-1 C,215.76,108.13,46.8,49.02,57.2,20.54,481.59,71515.34,199.79,production,OP
98,NO 15/9-F-1 C,215.98,108.12,47.0,48.57,56.78,20.1,492.02,73095.92,215.32,production,OP
99,NO 15/9-F-1 C,215.05,108.14,47.89,48.86,56.4,20.38,476.08,70443.1,246.8,production,OP
100,NO 15/9-F-1 C,214.83,108.15,47.76,48.49,56.42,20.02,466.34,69327.14,243.78,production,OP
101,NO 15/9-F-1 C,214.76,108.15,47.71,48.18,55.03,19.71,463.64,68816.51,241.88,production,OP
